query,doc_id,title,publisher,url,category,similarity
using robots to inspect radioactive equipment without human exposure,D003,Nuclear Predictive Maintenance: AI & Machine Learning for Reactor Equipment,Oxmaint,https://oxmaint.com/industries/power-plant/nuclear-predictive-maintenance-ai-ml-reactor-equipment,AI/ML Predictive Maintenance,0.176
using robots to inspect radioactive equipment without human exposure,D005,A novel inspection robot for nuclear station steam generator secondary side with self-localization,Robotics and Biomimetics (Springer),https://jrobio.springeropen.com/articles/10.1186/s40638-017-0078-y,Robotic Inspection,0.081
using robots to inspect radioactive equipment without human exposure,D007,An Inspection Planning Method for Steam Generators with Triangular-Distributed Tubes,Springer Nature,https://link.springer.com/chapter/10.1007/978-3-031-13835-5_52,Robotic Inspection,0.065
AI models that predict equipment failure before it happens,D003,Nuclear Predictive Maintenance: AI & Machine Learning for Reactor Equipment,Oxmaint,https://oxmaint.com/industries/power-plant/nuclear-predictive-maintenance-ai-ml-reactor-equipment,AI/ML Predictive Maintenance,0.34
AI models that predict equipment failure before it happens,D004,The use of Artificial Intelligence in the nuclear sector,Foro Nuclear,https://www.foronuclear.org/en/updates/in-depth/the-use-of-artificial-intelligence-in-the-nuclear-sector/,AI/ML Predictive Maintenance,0.07
AI models that predict equipment failure before it happens,D012,Digital Twin-Centered Hybrid Data-Driven Multi-Stage Deep Learning Framework for Enhanced Nuclear Reactor Power Prediction,arXiv,https://arxiv.org/pdf/2211.13157,Digital Twins,0.058
qualifying 3D printed metal parts for safety-critical use,D015,NUCOBAM European project: NUclear COmponents based on additive manufacturing,EPJ Nuclear Sciences & Technologies,https://www.epj-n.org/articles/epjn/full_html/2025/01/epjn20250025/epjn20250025.html,Additive Manufacturing,0.197
qualifying 3D printed metal parts for safety-critical use,D004,The use of Artificial Intelligence in the nuclear sector,Foro Nuclear,https://www.foronuclear.org/en/updates/in-depth/the-use-of-artificial-intelligence-in-the-nuclear-sector/,AI/ML Predictive Maintenance,0.077
qualifying 3D printed metal parts for safety-critical use,D009,A nuclear power plant digital twin for developing robot navigation and interaction,Frontiers in Energy Research,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1356624/full,Digital Twins,0.057
long-term underground storage of used nuclear fuel,D024,"Deep geological repositories — A review of design concepts, near-field evolution, and their implications for nuclear waste containment",ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0265931X25001377,Waste Management,0.209
long-term underground storage of used nuclear fuel,D011,Digital Twins for Nuclear Power Plants and Facilities,Oak Ridge National Laboratory (ORNL),https://www.ornl.gov/publication/digital-twins-nuclear-power-plants-and-facilities,Digital Twins,0.035
long-term underground storage of used nuclear fuel,D010,iFANnpp: Nuclear Power Plant Digital Twin for Robots and Autonomous Intelligence,arXiv,https://arxiv.org/pdf/2410.09213,Digital Twins,0.03
private investment race to commercialize fusion power,D026,Fusion Energy: No Longer '30 Years Away'?,IDTechEx,https://www.idtechex.com/en/research-article/fusion-energy-no-longer-30-years-away/33122,Fusion,0.304
private investment race to commercialize fusion power,D027,Energy Department Announces Fusion Science and Technology Roadmap to Accelerate Commercial Fusion Power,U.S. Department of Energy,https://www.energy.gov/articles/energy-department-announces-fusion-science-and-technology-roadmap-accelerate-commercial,Fusion,0.255
private investment race to commercialize fusion power,D028,Toward Commercial Fusion Energy: Considerations for Congress,Congressional Research Service,https://www.congress.gov/crs-product/R48866,Fusion,0.076
